Week,Bitcoin
2015-12-01,2.6666666666666665
2016-01-01,2.6
2016-02-01,2.25
2016-03-01,2.0
2016-04-01,2.25
2016-05-01,3.0
2016-06-01,3.75
2016-07-01,2.8
2016-08-01,2.25
2016-09-01,2.25
2016-10-01,2.8
2016-11-01,3.0
2016-12-01,3.75
2017-01-01,4.8
2017-02-01,5.0
2017-03-01,5.75
2017-04-01,5.4
2017-05-01,13.0
2017-06-01,11.75
2017-07-01,11.4
2017-08-01,17.0
2017-09-01,16.75
2017-10-01,19.6
2017-11-01,37.75
2017-12-01,77.4
2018-01-01,44.75
2018-02-01,29.5
2018-03-01,18.5
2018-04-01,14.8
2018-05-01,11.5
2018-06-01,10.75
2018-07-01,10.4
2018-08-01,10.5
2018-09-01,9.4
2018-10-01,7.75
2018-11-01,11.5
2018-12-01,10.4
2019-01-01,7.75
2019-02-01,7.75
2019-03-01,8.0
2019-04-01,9.0
2019-05-01,14.5
2019-06-01,16.4
2019-07-01,14.25
2019-08-01,12.5
2019-09-01,10.2
2019-10-01,10.0
2019-11-01,9.25
2019-12-01,8.4
2020-01-01,10.5
2020-02-01,11.5
2020-03-01,15.4
2020-04-01,13.25
2020-05-01,15.6
2020-06-01,10.5
2020-07-01,11.75
2020-08-01,12.8
2020-09-01,9.75
2020-10-01,11.25
2020-11-01,19.6
